BRA_ID,TRA_ID,CYCLE_NO,TRA_TYPE_ID,TRA_TYPE,GRP_ID,CUS_NUM,CUR_CODE,LED_CODE,CNTR_CODE,CNTR_ID,LED_ID,ACT_CODE,CUST_ID,TRA_YEAR,KASH_FLAG,TRA_SEQ,TODAY_DATE,DEB_CRE_IND,TRA_ACCOUNT,EXCHANGE_PRICE,EQU_TRA_ACCOUNT,CUR_PRI,HIGH_MARGIN,LOW_MARGIN,INVOICE_ID,INVOICE_NO,INVOICE_DATE,BUY_TRA_ID,SELL_TRA_ID,BOX_TRA_ID,BARN_TRA_ID,BARN_CODE,FLAG,CLOS_FLAG,CLOS_CYCLE,NOTES,USER_ID,TRA_DATE,LAST_USER_ID,LAST_TRA_DATE,DEL_FLAG,VAL_DATE,REGULAR_NUM,TRA_TIME,ORIG_BRA_ID,SUB_ACCT_CODE,POSTING_FLAG,TRA_BAL,APPROVE_FLAG,MAN_APP_ID,APPROVE_DATE,INT_DATE,MAT_DATE,ENT_ID,ENT_SEQ,ORIG_ENT_ID,ORIG_ENT_SEQ,ORIG_REMARKS,DOC_NUM,COUNTRY_CODE,DISTRICT_CODE,CITY_CODE,BANK_CODE
130,526035,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,469,2021-03-31,1,275708,1,275708,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,22752,469,43055,469,(intermediate),,,,,
1,526135,2,43,2,1,15,1,135110040001,,,141,2,11,2021,0,430,2021-03-31,2,127190,1,127190,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,523089,430,43055,430,(intermediate),,,,,
1,526135,2,43,2,1,14,1,135110040001,,,141,2,10,2021,0,428,2021-03-31,2,189019,1,189019,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,523089,428,43055,428,(intermediate),,,,,
1,526135,2,43,2,1,13,1,135110040001,,,141,2,9,2021,0,426,2021-03-31,2,193751,1,193751,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,523089,426,43055,426,(intermediate),,,,,
1,526135,2,43,2,1,1,1,135110040001,,,141,2,7,2021,0,424,2021-03-31,1,6205429,1,6205429,1,0,0,2,,2021-03-31,0,0,43055,0,0,1,0,0,(interbranch),1,2021-04-19 21:48:04,1,2021-04-19 21:48:04,0,2021-03-31,,214803,1,0,0,0,1,0,2021-04-19 21:48:04,2021-03-31,2021-03-31,523089,424,43055,424,(intermediate),,,,,
