TABLE_NAME
DUAL
SYSTEM_PRIVILEGE_MAP
TABLE_PRIVILEGE_MAP
USER_PRIVILEGE_MAP
STMT_AUDIT_OPTION_MAP
AV_DUAL
AUDIT_ACTIONS
ALL_UNIFIED_AUDIT_ACTIONS
WRR$_REPLAY_CALL_FILTER
SCHEDULER_FILEWATCHER_QT
XDB$IMPORT_TT_INFO
XDB$IMPORT_QN_INFO
XDB$IMPORT_NM_INFO
XDB$IMPORT_PT_INFO
XDB_INDEX_DDL_CACHE
HELP
SDO_TIN_PC_SEQ
SDO_TIN_PC_SYSDATA_TABLE
SRSNAMESPACE_TABLE
SDO_UNITS_OF_MEASURE
SDO_PRIME_MERIDIANS
SDO_ELLIPSOIDS
SDO_DATUMS
SDO_COORD_SYS
SDO_COORD_AXIS_NAMES
SDO_COORD_AXES
SDO_COORD_REF_SYS
SDO_COORD_OP_METHODS
SDO_COORD_OPS
SDO_PREFERRED_OPS_SYSTEM
SDO_PREFERRED_OPS_USER
SDO_COORD_OP_PATHS
SDO_COORD_OP_PARAMS
SDO_COORD_OP_PARAM_USE
SDO_COORD_OP_PARAM_VALS
SDO_CS_SRS
NTV2_XML_DATA
SDO_SRIDS_BY_URN
SDO_SRIDS_BY_URN_PATTERN
SDO_CRS_GEOGRAPHIC_PLUS_HEIGHT
SDO_PROJECTIONS_OLD_SNAPSHOT
SDO_ELLIPSOIDS_OLD_SNAPSHOT
SDO_DATUMS_OLD_SNAPSHOT
SDO_INDEX_HISTOGRAM_TABLE
SDO_DIST_METADATA_TABLE
SDO_WS_CONFERENCE
SDO_WS_CONFERENCE_RESULTS
SDO_WS_CONFERENCE_PARTICIPANTS
SDO_XSD_TABLE
OGIS_SPATIAL_REFERENCE_SYSTEMS
OGIS_GEOMETRY_COLUMNS
DR$OBJECT_ATTRIBUTE
DR$POLICY_TAB
DR$THS
DR$THS_PHRASE
DR$NUMBER_SEQUENCE
SDO_GEOR_XMLSCHEMA_TABLE
SDO_GEOR_PLUGIN_REGISTRY
SDO_XML_SCHEMAS
SDO_FEATURE_USAGE
TRANSACTS_T2
FINALHIST$
MODELGTTRAW$
WRI$_ADV_ASA_RECO_DATA
WRI$_HEATMAP_TOPN_DEP1
WRI$_HEATMAP_TOPN_DEP2
PLAN_TABLE$
OL$
OL$HINTS
OL$NODES
KU$_LIST_FILTER_TEMP
KU$_LIST_FILTER_TEMP_2
DATA_PUMP_XPL_TABLE$
KU$NOEXP_TAB
KU$_SHARD_DOMIDX_NAMEMAP
KU$XKTFBUE
ODCI_SECOBJ$
ODCI_WARNINGS$
ODCI_PMO_ROWIDS$
XS$VALIDATION_TABLE
IMPDP_STATS
KU$_DATAPUMP_MASTER_12_2
KU$_DATAPUMP_MASTER_12_0
KU$_DATAPUMP_MASTER_11_2
KU$_DATAPUMP_MASTER_11_1_0_7
KU$_DATAPUMP_MASTER_11_1
KU$_DATAPUMP_MASTER_10_1
SPD_SCRATCH_TAB
XDB$XIDX_IMP_T
SAM_SPARSITY_ADVICE
SDO_CS_CONTEXT_INFORMATION
SDO_ST_TOLERANCE
SDO_TTS_METADATA_TABLE
SDO_TXN_JOURNAL_GTT
SDO_TXN_JOURNAL_REG
SDO_TXN_IDX_EXP_UPD_RGN
SDO_TOPO_TRANSACT_DATA
SDO_TOPO_RELATION_DATA
SDO_TOPO_DATA$
SDO_WFS_LOCAL_TXNS
SDO_GEOR_DDL__TABLE$$
SDO_GR_MOSAIC_0
SDO_GR_MOSAIC_1
SDO_GR_MOSAIC_2
SDO_GR_MOSAIC_3
SDO_GR_MOSAIC_CB
SDO_GR_PARALLEL
SDO_GR_RDT_1
RDF_PARAMETER
